sample_nb,density,max_cycle,avgcycle,nb_attractor,nb_fixed_point,mxc_inhib,avgc_inhib,mxc_exct,avgc_exct,mxc_all,avgc_all,totalInhibition,totalExcitation,totalAutoInhibition,totalAutoExcitation,
0,0.972,2,1.500,2,1,4,2.500,6,3.441,6,4.657,14,21,2,4,
1,0.278,2,1.500,2,1,2,1.500,1,1.000,3,1.800,5,5,1,1,
2,0.833,2,1.667,3,1,6,3.450,3,1.714,6,4.445,17,13,2,3,
3,0.417,1,1.000,2,2,1,1.000,1,1.000,5,2.700,7,8,2,1,
4,0.944,2,1.500,2,1,6,2.889,6,3.400,6,4.608,18,16,4,2,
5,0.500,2,1.333,3,2,2,1.250,1,1.000,4,2.412,11,7,3,2,
6,0.667,2,1.500,2,1,2,1.250,6,3.750,6,4.151,10,14,3,1,
7,0.444,1,1.000,1,1,1,1.000,0,0.000,5,2.667,12,4,4,0,
8,0.444,4,1.857,7,5,5,4.000,3,1.667,5,2.733,7,9,0,4,
9,0.306,1,1.000,3,3,1,1.000,1,1.000,3,1.500,7,4,2,2,
10,0.417,1,1.000,2,2,3,2.000,1,1.000,4,2.500,10,5,1,1,
11,0.667,2,1.333,3,2,2,1.600,2,1.250,6,3.477,11,13,2,3,
12,0.556,1,1.000,3,3,4,2.714,1,1.000,6,3.400,13,7,1,3,
13,0.472,1,1.000,2,2,2,1.500,4,3.000,6,3.438,8,9,1,0,
14,0.361,4,2.000,3,2,0,0.000,1,1.000,3,1.750,6,7,0,2,
15,0.222,3,2.000,4,2,0,0.000,3,3.000,5,3.333,3,5,0,0,
16,0.611,1,1.000,3,3,3,2.000,4,2.000,6,3.419,10,12,1,4,
17,0.833,3,1.667,3,2,6,4.000,3,1.667,6,4.609,18,12,1,2,
18,0.944,2,1.667,3,1,5,3.136,4,2.111,6,4.608,18,16,3,3,
19,0.361,2,1.333,3,2,2,1.667,2,2.000,3,2.000,7,6,1,0,
20,0.889,3,2.000,2,1,5,3.130,3,1.750,6,4.552,19,13,3,2,
21,0.750,1,1.000,5,5,5,3.000,6,3.300,6,4.391,9,18,0,3,
22,0.639,2,1.500,4,2,3,2.333,5,2.800,6,4.283,10,13,0,1,
23,0.528,1,1.000,5,5,4,2.167,2,1.250,4,2.154,10,9,2,3,
24,0.611,2,1.333,3,2,4,2.500,5,2.833,5,3.138,9,13,1,2,
25,0.639,6,3.500,2,1,4,2.000,5,2.857,6,4.181,11,12,3,1,
26,0.306,2,1.500,2,1,2,1.500,1,1.000,3,1.750,7,4,1,1,
27,0.833,2,1.667,3,1,3,1.800,6,3.483,6,4.488,12,18,2,2,
28,0.417,1,1.000,1,1,4,2.125,0,0.000,4,2.182,13,2,3,0,
29,0.833,9,5.000,2,1,5,3.182,6,3.846,6,4.425,13,17,2,3,
30,0.500,1,1.000,2,2,6,3.100,1,1.000,6,3.200,13,5,2,1,
31,0.556,1,1.000,2,2,2,1.400,1,1.000,6,3.531,11,9,3,1,
32,0.944,2,1.500,2,1,4,2.125,6,3.676,6,4.668,14,20,3,2,
33,0.222,1,1.000,1,1,1,1.000,0,0.000,4,2.000,5,3,2,0,
34,0.361,1,1.000,1,1,3,2.500,1,1.000,4,2.375,9,4,0,1,
35,0.972,4,2.000,3,2,6,4.260,4,2.333,6,4.657,21,14,2,4,
36,0.472,1,1.000,3,3,5,3.500,1,1.000,6,3.556,12,5,0,2,
37,0.361,2,1.143,7,6,0,0.000,2,1.333,5,3.000,5,8,0,2,
38,0.417,1,1.000,3,3,2,2.000,1,1.000,3,1.833,8,7,0,2,
39,0.750,4,2.000,3,2,4,2.200,4,2.000,6,4.071,10,17,2,3,
40,0.444,2,1.600,5,2,2,1.333,2,1.333,5,2.455,8,8,2,2,
41,0.472,1,1.000,1,1,2,1.250,0,0.000,2,1.500,10,7,3,0,
42,0.333,1,1.000,1,1,1,1.000,0,0.000,4,2.714,6,6,2,0,
43,0.444,1,1.000,2,2,3,2.400,1,1.000,5,2.667,12,4,1,2,
44,0.917,3,1.750,4,2,5,2.545,6,3.679,6,4.620,15,18,3,2,
45,0.361,1,1.000,1,1,3,2.000,1,1.000,5,2.667,9,4,1,1,
46,0.778,2,1.333,3,2,5,3.000,2,1.167,6,4.067,14,14,1,5,
47,0.333,1,1.000,3,3,2,1.500,1,1.000,4,2.000,6,6,1,2,
48,0.472,1,1.000,3,3,4,2.667,3,1.667,6,3.760,9,8,1,2,
49,0.889,4,2.500,2,1,6,3.542,6,3.615,6,4.467,18,14,4,2,
50,0.333,1,1.000,1,1,2,2.000,0,0.000,4,2.714,8,4,0,0,
51,0.806,4,2.250,4,2,4,2.200,6,3.750,6,4.467,11,18,2,1,
52,0.417,2,1.500,2,1,2,1.400,2,2.000,4,2.273,10,5,3,0,
53,0.556,1,1.000,2,2,3,2.000,3,1.667,5,3.074,8,12,1,3,
54,0.694,2,1.333,3,2,1,1.000,3,1.800,6,4.136,12,13,2,2,
55,0.972,1,1.000,4,4,6,3.450,5,2.471,6,4.657,17,18,1,5,
56,1.000,1,1.000,2,2,5,2.875,6,3.053,6,4.713,18,18,3,3,
57,0.361,3,2.000,2,1,2,2.000,3,3.000,6,3.300,6,7,0,0,
58,0.972,3,2.000,2,1,6,4.111,5,2.333,6,4.657,21,14,3,3,
59,0.917,4,2.000,3,2,4,1.875,6,3.618,6,4.530,13,20,4,2,
60,0.833,1,1.000,2,2,6,3.500,3,1.667,6,4.414,14,16,2,3,
61,0.639,2,1.667,3,1,2,1.333,5,2.444,6,3.513,10,13,2,3,
62,0.389,1,1.000,4,4,3,2.500,1,1.000,4,2.375,11,3,0,2,
63,0.306,2,1.500,4,2,1,1.000,3,1.667,4,2.143,4,7,1,2,
64,0.583,2,1.200,5,4,3,1.667,1,1.000,5,2.579,12,9,3,3,
65,0.278,1,1.000,1,1,1,1.000,0,0.000,3,1.800,6,4,2,0,
66,0.389,1,1.000,1,1,4,2.667,0,0.000,6,3.615,13,1,1,0,
67,0.389,2,1.250,4,3,4,2.667,2,1.500,4,2.333,8,6,1,2,
68,0.333,1,1.000,2,2,0,0.000,1,1.000,5,3.000,5,7,0,2,
69,0.389,1,1.000,1,1,4,2.600,1,1.000,5,3.167,10,4,2,1,
70,0.611,2,1.500,2,1,3,1.750,3,1.625,5,2.885,10,12,2,4,
71,0.306,2,1.333,3,2,2,1.667,2,2.000,2,1.750,8,3,1,0,
72,0.306,1,1.000,1,1,2,1.750,0,0.000,6,3.000,9,2,1,0,
73,0.500,2,1.333,3,2,3,1.667,2,1.500,6,3.059,9,9,2,2,
74,0.389,1,1.000,2,2,0,0.000,4,2.250,5,2.727,4,10,0,2,
75,0.944,12,6.500,2,1,5,3.100,6,4.148,6,4.668,13,21,2,3,
76,0.306,2,1.333,3,2,2,2.000,2,2.000,6,3.143,7,4,0,0,
77,0.361,2,1.333,3,2,1,1.000,2,2.000,2,1.400,6,7,3,0,
78,0.972,2,1.500,4,2,5,2.964,5,2.727,6,4.657,22,13,4,2,
79,0.611,2,1.250,4,3,2,1.250,3,1.667,6,2.952,9,13,3,3,
80,0.972,2,1.400,5,3,4,2.364,6,3.628,6,4.657,14,21,3,3,
81,0.444,2,1.333,3,2,2,1.250,2,2.000,3,1.714,10,6,3,0,
82,0.778,1,1.000,2,2,4,2.500,5,2.615,6,4.230,12,16,1,4,
83,0.361,1,1.000,2,2,4,2.500,1,1.000,4,2.500,7,6,1,1,
84,0.694,2,1.667,3,1,4,1.800,4,2.143,6,4.068,13,12,3,2,
85,0.444,2,1.250,4,3,4,3.500,2,1.250,5,2.692,7,9,0,3,
86,0.333,2,1.500,2,1,1,1.000,3,2.500,5,3.222,5,7,1,0,
87,0.306,2,1.500,2,1,1,1.000,1,1.000,4,1.600,6,5,3,1,
88,0.500,2,1.200,5,4,5,2.667,2,1.250,5,2.957,11,7,1,3,
89,0.361,2,1.500,2,1,1,1.000,2,2.000,5,2.875,8,5,2,0,
90,0.667,1,1.000,3,3,5,3.000,5,2.125,6,3.796,10,14,1,4,
91,0.306,1,1.000,2,2,2,1.500,1,1.000,6,2.167,6,5,1,2,
92,0.306,2,1.333,3,2,2,1.333,2,2.000,4,2.167,6,5,2,0,
93,0.444,2,1.167,6,5,2,1.500,2,1.333,5,2.800,7,9,1,2,
94,0.722,1,1.000,4,4,2,1.667,2,1.286,6,3.735,12,14,1,5,
95,0.806,2,1.500,2,1,4,1.889,5,3.250,6,4.381,17,12,4,1,
96,0.806,1,1.000,1,1,5,2.556,3,2.333,6,4.263,20,9,5,0,
97,0.833,2,1.500,4,2,3,2.000,5,2.933,6,4.436,14,16,3,2,
98,0.389,2,1.500,2,1,2,2.000,2,2.000,3,2.400,6,8,0,0,
99,1.000,1,1.000,1,1,6,3.474,5,2.667,6,4.713,18,18,3,3,
100,0.333,1,1.000,1,1,1,1.000,1,1.000,5,2.714,5,7,2,1,
101,0.667,1,1.000,3,3,4,2.400,5,2.636,6,3.750,9,15,1,4,
102,0.611,2,1.333,3,2,4,2.750,3,2.000,6,4.045,11,11,1,1,
103,0.972,3,2.000,2,1,4,2.364,6,3.130,6,4.657,16,19,3,3,
104,0.861,1,1.000,1,1,5,3.143,6,3.300,6,4.567,17,14,2,2,
105,0.472,1,1.000,1,1,3,2.000,0,0.000,6,3.967,12,5,1,0,
106,0.861,5,2.400,5,3,6,3.722,5,3.000,6,4.613,15,16,1,2,
107,0.278,3,1.667,3,2,1,1.000,1,1.000,2,1.400,5,5,1,2,
108,0.972,2,1.333,3,2,6,3.333,6,3.375,6,4.657,14,21,1,5,
109,0.333,1,1.000,2,2,2,2.000,1,1.000,6,2.875,6,6,0,1,
110,1.000,2,1.500,2,1,5,2.643,6,3.143,6,4.713,16,20,3,3,
111,0.722,2,1.750,4,1,2,1.500,5,2.400,6,3.955,11,15,2,4,
112,0.833,3,2.000,3,1,4,2.000,6,3.667,6,4.440,13,17,3,2,
113,0.917,1,1.000,3,3,6,3.897,4,2.182,6,4.557,17,16,2,4,
114,0.611,1,1.000,2,2,5,2.364,2,1.500,5,2.778,15,7,4,1,
