file_name,n,k,topology,linkage,id,ratio_sym,
randomnet_15_2.33_homogeneous_uniform_1_.bnet,15,2.33,homogeneous,uniform,1,0.6125,
randomnet_14_3_homogeneous_uniform_2_.bnet,14,3,homogeneous,uniform,2,0.4419642857142857,
randomnet_66_2.17_homogeneous_uniform_2_.bnet,66,2.17,homogeneous,uniform,2,0.5784551447088068,
randomnet_103_2.48_homogeneous_uniform_2_.bnet,103,2.48,homogeneous,uniform,2,0.535802748596784,
randomnet_36_3.36_homogeneous_uniform_1_.bnet,36,3.36,homogeneous,uniform,1,0.48647816975911456,
randomnet_20_2.4_homogeneous_uniform_2_.bnet,20,2.4,homogeneous,uniform,2,0.5064369201660156,
randomnet_8_2.5_homogeneous_uniform_2_.bnet,8,2.5,homogeneous,uniform,2,0.6015625,
randomnet_5_3_homogeneous_uniform_1_.bnet,5,3,homogeneous,uniform,1,0.375,
randomnet_6_2.5_homogeneous_uniform_1_.bnet,6,2.5,homogeneous,uniform,1,0.46875,
randomnet_61_3.93_homogeneous_uniform_2_.bnet,61,3.93,homogeneous,uniform,2,0.5925623158939549,
randomnet_21_2.38_homogeneous_uniform_1_.bnet,21,2.38,homogeneous,uniform,1,0.36996023995535715,
randomnet_110_1.95_homogeneous_uniform_1_.bnet,110,1.95,homogeneous,uniform,1,0.4979403409090909,
randomnet_92_2.77_homogeneous_uniform_1_.bnet,92,2.77,homogeneous,uniform,1,0.5988500843877378,
randomnet_6_2.33_homogeneous_uniform_2_.bnet,6,2.33,homogeneous,uniform,2,0.5364583333333334,
randomnet_26_2.69_homogeneous_uniform_2_.bnet,26,2.69,homogeneous,uniform,2,0.5677472628079928,
randomnet_19_3.21_homogeneous_uniform_1_.bnet,19,3.21,homogeneous,uniform,1,0.5632733796772204,
randomnet_9_2.11_homogeneous_uniform_2_.bnet,9,2.11,homogeneous,uniform,2,0.4930555555555556,
randomnet_103_2.46_homogeneous_uniform_1_.bnet,103,2.46,homogeneous,uniform,1,0.581750962340716,
randomnet_218_2.08_homogeneous_uniform_1_.bnet,218,2.08,homogeneous,uniform,1,0.5786398791391915,
randomnet_18_3.22_homogeneous_uniform_2_.bnet,18,3.22,homogeneous,uniform,2,0.5634765625,
randomnet_10_3.5_homogeneous_uniform_1_.bnet,10,3.5,homogeneous,uniform,1,0.58125,
randomnet_11_1.18_homogeneous_uniform_2_.bnet,11,1.18,homogeneous,uniform,2,0.6818181818181818,
