n,density,max_cycle,nb_sym,nb_sym_transcient,nb_sym_cycle,ratio_sym,ratio_sym_transcient,ratio_sym_cycle,mat,
450,0.735,2,0,0,0,0.34374999999999983,0.34285714285714264,0.38095238095238093,"[-1.0; 1.0; -1.0; -1.0; -1.0; 0.0; 0.0; 1.0; 0.0; -1.0; 0.0; -1.0; -1.0; 0.0; 0.0; -1.0; -1.0; -1.0; 0.0; -1.0; -1.0; 0.0; -1.0; -1.0; -1.0; 0.0; -1.0; 1.0; 1.0; 1.0; 0.0; 0.0; 1.0; -1.0; -1.0; 1.0; -1.0; -1.0; 1.0; 1.0; 1.0; 1.0; 1.0; -1.0; 0.0; 1.0; 1.0; 0.0; -1.0]",
451,0.837,2,0,0,0,0.45758928571428586,0.4571428571428573,0.4761904761904762,"[-1.0; 1.0; 1.0; 0.0; 1.0; -1.0; 1.0; -1.0; 0.0; 0.0; 1.0; -1.0; -1.0; 1.0; -1.0; 1.0; 1.0; 0.0; -1.0; -1.0; -1.0; 1.0; -1.0; -1.0; -1.0; 1.0; -1.0; -1.0; -1.0; 1.0; -1.0; 1.0; -1.0; 0.0; -1.0; -1.0; 1.0; -1.0; 0.0; 1.0; -1.0; 1.0; 1.0; 0.0; -1.0; 0.0; -1.0; 1.0; 1.0]",
452,0.755,1,0,0,0,0.5156249999999999,0.5133565621370498,0.5714285714285714,"[1.0; -1.0; 0.0; 1.0; -1.0; 1.0; 0.0; 0.0; 1.0; 1.0; 0.0; -1.0; -1.0; -1.0; -1.0; 1.0; 0.0; -1.0; -1.0; 1.0; 1.0; 1.0; -1.0; 0.0; 0.0; -1.0; -1.0; 1.0; 0.0; -1.0; -1.0; -1.0; -1.0; 0.0; -1.0; 1.0; 0.0; 1.0; 1.0; -1.0; 0.0; 0.0; 1.0; -1.0; 1.0; 1.0; 1.0; -1.0; 1.0]",
453,0.449,2,0,0,0,0.32142857142857134,0.3223140495867768,0.3061224489795918,"[1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -1.0; -1.0; 0.0; -1.0; 0.0; 0.0; -1.0; 0.0; 1.0; -1.0; -1.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0; 1.0; 1.0; 0.0; -1.0; 0.0; -1.0; -1.0; 0.0; 1.0; -1.0; -1.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; -1.0; 0.0; 0.0]",
454,0.551,2,0,0,0,0.5000000000000001,0.5084745762711865,0.3999999999999999,"[1.0; -1.0; 0.0; 1.0; -1.0; 1.0; 0.0; 0.0; 0.0; -1.0; -1.0; -1.0; -1.0; 0.0; -1.0; 0.0; 0.0; 0.0; 1.0; 0.0; -1.0; 1.0; -1.0; 0.0; 1.0; 1.0; -1.0; 1.0; -1.0; 1.0; 0.0; 0.0; 1.0; -1.0; 0.0; -1.0; -1.0; 0.0; 0.0; 0.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -1.0]",
455,0.612,1,0,0,0,0.45535714285714274,0.4548571428571428,0.4761904761904761,"[0.0; 1.0; 0.0; 0.0; -1.0; 0.0; 1.0; 1.0; -1.0; 1.0; 1.0; 1.0; 0.0; 1.0; 1.0; 1.0; 1.0; 0.0; -1.0; -1.0; 1.0; 1.0; 0.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0; 1.0; 1.0; 1.0; 0.0; -1.0; -1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 1.0; -1.0; 0.0; 0.0; 0.0; -1.0; 1.0; -1.0; -1.0]",
456,0.633,5,0,0,0,0.4107142857142857,0.4108618654073199,0.4081632653061224,"[1.0; -1.0; -1.0; -1.0; 0.0; 1.0; -1.0; 0.0; 0.0; -1.0; 0.0; 0.0; 1.0; 0.0; -1.0; -1.0; 0.0; 0.0; 1.0; 1.0; 1.0; 1.0; 1.0; -1.0; 0.0; 0.0; 0.0; 1.0; -1.0; -1.0; -1.0; -1.0; 1.0; 0.0; 0.0; -1.0; 1.0; 0.0; 1.0; -1.0; 1.0; 0.0; 1.0; 0.0; 0.0; -1.0; -1.0; 1.0; 0.0]",
457,0.633,7,2,2,0,0.5357142857142855,0.5416666666666665,0.4464285714285714,"[-1.0; 0.0; -1.0; 1.0; -1.0; 0.0; -1.0; 0.0; -1.0; 0.0; -1.0; 1.0; 1.0; 0.0; 1.0; -1.0; 1.0; 0.0; -1.0; -1.0; -1.0; 1.0; 1.0; 0.0; -1.0; -1.0; -1.0; 1.0; -1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; -1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 1.0; 0.0; 1.0; -1.0; -1.0]",
458,0.490,2,0,0,0,0.4375,0.43542857142857144,0.5238095238095238,"[0.0; 1.0; 0.0; -1.0; -1.0; 1.0; 1.0; 0.0; -1.0; -1.0; 0.0; 0.0; -1.0; 0.0; 0.0; 0.0; 0.0; 1.0; -1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0; 1.0; 1.0; 0.0; 0.0; 0.0; -1.0; 0.0; 0.0; -1.0; 0.0; 0.0; 0.0; -1.0; 1.0; 0.0; 1.0; 0.0; -1.0; 1.0; 0.0; 1.0; 1.0; 1.0; 0.0]",
459,0.469,1,0,0,0,0.49999999999999994,0.5011337868480725,0.42857142857142855,"[1.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; -1.0; 0.0; 0.0; 0.0; 0.0; -1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 1.0; -1.0; 0.0; 0.0; 0.0; -1.0; 1.0; 0.0; 0.0; -1.0; 0.0; 1.0; -1.0; -1.0; 1.0; 1.0; 1.0; -1.0; 1.0; 1.0; 0.0; -1.0; 0.0; 0.0; -1.0; 1.0; 0.0]",
